True Class,Predicted Class,Count,Error Rate
guk,gu,5,0.011904761904761904
seong,jeong,5,0.011904761904761904
gi,i,5,0.011904761904761904
ha,hwa,5,0.011904761904761904
seo,gye,5,0.011904761904761904
gyeong,yeon,5,0.011904761904761904
gong,eun,5,0.011904761904761904
seo,i,5,0.011904761904761904
ha,gye,5,0.011904761904761904
seo,e,5,0.011904761904761904
jeong,gye,5,0.011904761904761904
so,jo,5,0.011904761904761904
dae,gye,5,0.011904761904761904
jeok,je,5,0.011904761904761904
ga,da,5,0.011904761904761904
je,ji,5,0.011904761904761904
wi,ri,5,0.011904761904761904
jeong,jang,5,0.011904761904761904
e,a,5,0.011904761904761904
jang,da,5,0.011904761904761904
jeong,gi,5,0.011904761904761904
na,eo,5,0.011904761904761904
eui,gi,5,0.011904761904761904
gwa,hwa,5,0.011904761904761904
dong,yong,5,0.011904761904761904
choe,gye,5,0.011904761904761904
il,yeon,5,0.011904761904761904
reul,neun,5,0.011904761904761904
so,go,5,0.011904761904761904
iss,il,5,0.011904761904761904
da,eui,5,0.011904761904761904
ra,ri,5,0.011904761904761904
yong,reul,5,0.011904761904761904
jeok,choe,4,0.009523809523809525
ro,deul,4,0.009523809523809525
wi,yeon,4,0.009523809523809525
ji,eui,4,0.009523809523809525
do,jo,4,0.009523809523809525
jeok,gye,4,0.009523809523809525
jang,sang,4,0.009523809523809525
yeon,e,4,0.009523809523809525
yeon,eo,4,0.009523809523809525
ji,i,4,0.009523809523809525
gyeong,jeon,4,0.009523809523809525
ji,e,4,0.009523809523809525
ga,ha,4,0.009523809523809525
hae,ha,4,0.009523809523809525
wi,seo,4,0.009523809523809525
jeok,jeong,4,0.009523809523809525
yeo,jeok,4,0.009523809523809525
won,il,4,0.009523809523809525
won,in,4,0.009523809523809525
dae,hae,4,0.009523809523809525
gyeong,seong,4,0.009523809523809525
da,i,4,0.009523809523809525
dae,eo,4,0.009523809523809525
ha,jang,4,0.009523809523809525
jeong,wi,4,0.009523809523809525
go,eu,4,0.009523809523809525
da,ga,4,0.009523809523809525
ju,gyeong,4,0.009523809523809525
jo,seu,4,0.009523809523809525
ha,ga,4,0.009523809523809525
ri,eo,4,0.009523809523809525
si,dae,4,0.009523809523809525
bak,bu,4,0.009523809523809525
su,so,4,0.009523809523809525
ra,na,4,0.009523809523809525
eu,go,4,0.009523809523809525
na,eui,4,0.009523809523809525
eo,gi,4,0.009523809523809525
eo,eui,4,0.009523809523809525
eo,dae,4,0.009523809523809525
ra,gong,4,0.009523809523809525
na,gwa,4,0.009523809523809525
geu,go,4,0.009523809523809525
gu,gong,4,0.009523809523809525
ri,i,4,0.009523809523809525
jo,geu,4,0.009523809523809525
hwa,da,4,0.009523809523809525
da,yeo,4,0.009523809523809525
guk,ju,4,0.009523809523809525
dong,reul,4,0.009523809523809525
jeong,je,4,0.009523809523809525
ji,seo,4,0.009523809523809525
si,ji,4,0.009523809523809525
yeon,il,4,0.009523809523809525
ji,ri,4,0.009523809523809525
neun,deul,4,0.009523809523809525
il,deul,3,0.007142857142857143
sa,ja,3,0.007142857142857143
sa,na,3,0.007142857142857143
na,i,3,0.007142857142857143
gye,gyeong,3,0.007142857142857143
gye,e,3,0.007142857142857143
ju,a,3,0.007142857142857143
ju,da,3,0.007142857142857143
ju,do,3,0.007142857142857143
gyeong,e,3,0.007142857142857143
jeok,gi,3,0.007142857142857143
jeon,seong,3,0.007142857142857143
ri,si,3,0.007142857142857143
reul,ro,3,0.007142857142857143
in,gim,3,0.007142857142857143
iss,eui,3,0.007142857142857143
i,gi,3,0.007142857142857143
ra,ja,3,0.007142857142857143
ja,da,3,0.007142857142857143
ra,ha,3,0.007142857142857143
i,a,3,0.007142857142857143
jang,a,3,0.007142857142857143
hwa,han,3,0.007142857142857143
hwa,hae,3,0.007142857142857143
jang,gim,3,0.007142857142857143
hwa,gim,3,0.007142857142857143
jang,gwa,3,0.007142857142857143
